time,plate_name,well_position,temperature_c,value,row_label,column_label,wavelength
,p1: Em580,D6,22.8,1423882.0,D,6,380
,p1: Em580,D7,22.8,1341886.0,D,7,380
,p1: Em580,B1,22.8,144408800.0,B,1,390
,p1: Em580,B2,22.8,11850890.0,B,2,390
,p1: Em580,B3,22.8,3726305.0,B,3,390
,p1: Em580,B4,22.8,1540164.0,B,4,390
,p1: Em580,B5,22.8,3313.0,B,5,390
,p1: Em580,D1,22.8,1298105.0,D,1,390
,p1: Em580,D2,22.8,1380902.0,D,2,390
,p1: Em580,D3,22.8,1624269.0,D,3,390
,p1: Em580,D4,22.8,7980385.0,D,4,390
,p1: Em580,D5,22.8,1487986.0,D,5,390
,p1: Em580,D6,22.8,1289599.0,D,6,390
,p1: Em580,D7,22.8,1222012.0,D,7,390
,p1: Em580,B1,22.8,144649520.0,B,1,400
,p1: Em580,B2,22.8,11189023.0,B,2,400
,p1: Em580,B3,22.8,3586060.0,B,3,400
,p1: Em580,B4,22.8,1392014.0,B,4,400
,p1: Em580,B5,22.8,3792.0,B,5,400
,p1: Em580,D1,22.8,1254170.0,D,1,400
,p1: Em580,D2,22.8,1325135.0,D,2,400
,p1: Em580,D3,22.8,1553378.0,D,3,400
,p1: Em580,D4,22.8,7303362.0,D,4,400
,p1: Em580,D5,22.8,1382430.0,D,5,400
,p1: Em580,D6,22.8,1235010.0,D,6,400
,p1: Em580,D7,22.8,1165440.0,D,7,400
,p1: Em580,B1,22.8,138727568.0,B,1,410
,p1: Em580,B2,22.8,8912992.0,B,2,410
,p1: Em580,B3,22.8,4124136.0,B,3,410
,p1: Em580,B4,22.8,1330126.0,B,4,410
,p1: Em580,B5,22.8,3250.0,B,5,410
,p1: Em580,D1,22.8,1272265.0,D,1,410
,p1: Em580,D2,22.8,1360304.0,D,2,410
,p1: Em580,D3,22.8,1564017.0,D,3,410
,p1: Em580,D4,22.8,6037338.0,D,4,410
,p1: Em580,D5,22.8,1404794.0,D,5,410
,p1: Em580,D6,22.8,1264785.0,D,6,410
,p1: Em580,D7,22.8,1181570.0,D,7,410
,p1: Em580,B1,22.8,135004016.0,B,1,420
,p1: Em580,B2,22.8,3935932.0,B,2,420
,p1: Em580,B3,22.8,5213278.0,B,3,420
,p1: Em580,B4,22.8,1290636.0,B,4,420
,p1: Em580,B5,22.8,3351.0,B,5,420
,p1: Em580,D1,22.8,1304169.0,D,1,420
,p1: Em580,D2,22.8,1387936.0,D,2,420
,p1: Em580,D3,22.8,1616642.0,D,3,420
,p1: Em580,D4,22.8,4447790.0,D,4,420
,p1: Em580,D5,22.8,1436533.0,D,5,420
,p1: Em580,D6,22.8,1322748.0,D,6,420
,p1: Em580,D7,22.8,1238897.0,D,7,420
,p1: Em580,B1,22.8,139473280.0,B,1,430
,p1: Em580,B2,22.8,1578924.0,B,2,430
,p1: Em580,B3,22.8,7099690.0,B,3,430
,p1: Em580,B4,22.8,1189957.0,B,4,430
,p1: Em580,B5,22.8,2900.0,B,5,430
,p1: Em580,D1,22.8,1321280.0,D,1,430
,p1: Em580,D2,22.8,1367700.0,D,2,430
,p1: Em580,D3,22.8,1630497.0,D,3,430
