target,lam_p,lam_b,lam_e,trial,round,trials_avail,n_mut,d_ex,d_em,peak_err,nn_dist,logit,is_id,is_bright,scaf_err
EBFP,10.0,40.0,15.0,5,3,12,9,38.5,32.30000000000001,35.39,24.877111434936523,2.8436,True,True,87.5
EBFP,10.0,40.0,15.0,6,1,12,7,43.0,31.600000000000023,37.28,23.459402084350586,4.2211,True,True,87.5
EBFP,10.0,40.0,15.0,6,2,12,8,38.89999999999998,32.10000000000002,35.54,26.265457153320312,4.0461,True,True,87.5
EBFP,10.0,40.0,15.0,6,3,12,9,41.19999999999999,31.69999999999999,36.43,25.512683868408203,5.0669,True,True,87.5
EBFP,10.0,40.0,15.0,7,1,12,7,49.89999999999998,36.30000000000001,43.06,23.5124568939209,-0.6676,True,False,87.5
EBFP,10.0,40.0,15.0,7,2,12,7,50.5,37.89999999999998,44.19,25.3941593170166,4.8789,True,True,87.5
EBFP,10.0,40.0,15.0,7,3,12,7,44.89999999999998,33.30000000000001,39.1,24.90865707397461,4.4696,True,True,87.5
EBFP,10.0,40.0,15.0,8,1,12,8,41.10000000000002,30.100000000000023,35.6,24.971088409423828,4.3419,True,True,87.5
EBFP,10.0,40.0,15.0,8,2,12,7,48.89999999999998,40.80000000000001,44.87,29.475812911987305,3.69,True,True,87.5
EBFP,10.0,40.0,15.0,8,3,12,9,50.89999999999998,43.80000000000001,47.33,29.73196792602539,-2.8838,True,False,87.5
EBFP,10.0,40.0,15.0,9,1,12,10,59.0,39.39999999999998,49.22,28.977771759033203,-2.9074,True,False,87.5
EBFP,10.0,40.0,15.0,9,2,12,8,39.30000000000001,30.100000000000023,34.69,27.13874626159668,2.2583,True,True,87.5
EBFP,10.0,40.0,15.0,9,3,12,7,17.600000000000023,21.100000000000023,19.35,28.95387840270996,1.588,True,True,87.5
EBFP,10.0,40.0,15.0,10,1,12,9,43.19999999999999,36.0,39.6,22.015228271484375,-0.9587,True,False,87.5
EBFP,10.0,40.0,15.0,10,2,12,7,49.19999999999999,40.39999999999998,44.78,28.74207878112793,3.0274,True,True,87.5
EBFP,10.0,40.0,15.0,10,3,12,9,46.60000000000002,41.30000000000001,43.92,33.09685134887695,0.1119,False,True,87.5
EBFP,10.0,40.0,15.0,11,1,12,9,33.69999999999999,34.39999999999998,34.09,33.29259490966797,0.5994,False,True,87.5
EBFP,10.0,40.0,15.0,11,2,12,10,26.100000000000023,33.69999999999999,29.91,28.451122283935547,1.3387,True,True,87.5
EBFP,10.0,40.0,15.0,11,3,12,9,26.0,33.30000000000001,29.68,28.552162170410156,2.7218,True,True,87.5
mOrange,10.0,40.0,15.0,0,1,12,6,65.30000000000001,57.5,61.38,21.51512336730957,-2.9872,True,False,57.5
mOrange,10.0,40.0,15.0,0,2,12,7,61.10000000000002,51.80000000000001,56.45,25.663827896118164,1.5821,True,True,57.5
mOrange,10.0,40.0,15.0,0,3,12,7,73.0,52.69999999999999,62.87,26.464324951171875,3.0262,True,True,57.5
mOrange,10.0,40.0,15.0,1,1,12,9,63.89999999999998,56.80000000000001,60.37,27.693172454833984,-3.3443,True,False,57.5
mOrange,10.0,40.0,15.0,1,2,12,10,58.30000000000001,53.69999999999999,56.02,29.532608032226562,-2.1423,True,False,57.5
mOrange,10.0,40.0,15.0,1,3,12,8,62.89999999999998,56.60000000000002,59.72,28.705810546875,-0.1972,True,False,57.5
mOrange,10.0,40.0,15.0,2,1,12,5,56.30000000000001,53.19999999999999,54.75,18.806346893310547,-5.1343,True,False,57.5
mOrange,10.0,40.0,15.0,2,2,12,6,59.39999999999998,54.60000000000002,57.05,21.056232452392578,-3.8243,True,False,57.5
mOrange,10.0,40.0,15.0,2,3,12,9,57.69999999999999,52.60000000000002,55.12,23.725933074951172,-2.8426,True,False,57.5
mOrange,10.0,40.0,15.0,3,1,12,8,61.89999999999998,56.5,59.23,24.301490783691406,-0.4834,True,False,57.5
mOrange,10.0,40.0,15.0,3,2,12,6,61.30000000000001,56.0,58.65,30.316160202026367,-0.006,False,False,57.5
mOrange,10.0,40.0,15.0,3,3,12,6,61.5,57.10000000000002,59.3,30.277551651000977,-2.7671,False,False,57.5
mOrange,10.0,40.0,15.0,4,1,12,8,54.0,49.0,51.52,29.857507705688477,-3.4067,True,False,57.5
mOrange,10.0,40.0,15.0,4,2,12,8,45.69999999999999,44.39999999999998,45.09,32.5803337097168,-1.4517,False,False,57.5
mOrange,10.0,40.0,15.0,4,3,12,10,50.19999999999999,46.0,48.12,33.12688446044922,-0.1101,False,False,57.5
mOrange,10.0,40.0,15.0,5,1,12,6,66.19999999999999,60.10000000000002,63.12,20.13836097717285,-3.242,True,False,57.5
mOrange,10.0,40.0,15.0,5,2,12,8,52.69999999999999,44.10000000000002,48.39,29.01105499267578,-0.7585,True,False,57.5
mOrange,10.0,40.0,15.0,5,3,12,7,68.30000000000001,56.39999999999998,62.38,26.659099578857422,3.0958,True,True,57.5
mOrange,10.0,40.0,15.0,6,1,12,9,55.39999999999998,52.39999999999998,53.9,27.291406631469727,-4.5833,True,False,57.5
mOrange,10.0,40.0,15.0,6,2,12,8,67.89999999999998,60.80000000000001,64.35,24.142107009887695,-1.4163,True,False,57.5
mOrange,10.0,40.0,15.0,6,3,12,8,63.0,54.69999999999999,58.82,25.39533805847168,0.2485,True,True,57.5
